Year,Bond_Return,Bond_Source,Gold_Start_Date,Gold_Start_Price_USD,Gold_End_Date,Gold_End_Price_USD,Gold_Price_Source,Gold_Return
1926,5.29,"JST Macrohistory Database R6, USA bond_tr",1925-12-31,20.67,1926-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1927,3.72,"JST Macrohistory Database R6, USA bond_tr",1926-12-31,20.67,1927-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1928,0.84,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1927-12-31,20.67,1928-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1929,4.2,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1928-12-31,20.67,1929-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1930,4.54,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1929-12-31,20.67,1930-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1931,-2.56,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1930-12-31,20.67,1931-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1932,8.79,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1931-12-31,20.67,1932-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1933,1.86,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1932-12-31,20.67,1933-12-31,20.67,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934)",0
1934,7.96,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1933-12-31,20.67,1934-12-31,35,"US statutory gold price (Federal Reserve History, Gold Reserve Act of 1934) -> US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History)",69.33
1935,4.47,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1934-12-31,35,1935-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1936,5.02,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1935-12-31,35,1936-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1937,1.38,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1936-12-31,35,1937-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1938,4.21,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1937-12-31,35,1938-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1939,4.41,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1938-12-31,35,1939-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1940,5.4,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1939-12-31,35,1940-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1941,-2.02,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1940-12-31,35,1941-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1942,2.29,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1941-12-31,35,1942-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1943,2.49,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1942-12-31,35,1943-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1944,2.58,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1943-12-31,35,1944-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1945,3.8,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1944-12-31,35,1945-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1946,3.13,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1945-12-31,35,1946-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1947,0.92,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1946-12-31,35,1947-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1948,1.95,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1947-12-31,35,1948-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1949,4.66,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1948-12-31,35,1949-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1950,0.43,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1949-12-31,35,1950-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1951,-0.3,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1950-12-31,35,1951-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1952,2.27,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1951-12-31,35,1952-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1953,4.14,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1952-12-31,35,1953-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1954,3.29,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1953-12-31,35,1954-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1955,-1.34,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1954-12-31,35,1955-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1956,-2.26,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1955-12-31,35,1956-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1957,6.8,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1956-12-31,35,1957-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1958,-2.1,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1957-12-31,35,1958-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1959,-2.65,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1958-12-31,35,1959-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1960,11.64,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1959-12-31,35,1960-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1961,2.06,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1960-12-31,35,1961-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1962,5.69,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1961-12-31,35,1962-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1963,1.68,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1962-12-31,35,1963-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1964,3.73,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1963-12-31,35,1964-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
1965,0.72,"NYU Stern (Damodaran) histretSP, US T. Bond (10-year)",1964-12-31,35,1965-12-31,35,US official gold price set by presidential proclamation 31 Jan 1934 (Federal Reserve History),0
