Year,Inflation_Purchasing_Power_Return,SP500_Total_Return,Housing_Return,Bond_Return,Gold_Return
1926,1.12,11.62,2.16,5.29,-0.05
1927,2.26,37.49,2.39,3.72,0.05
1928,1.16,43.61,7.79,1.39,0.1
1929,-0.58,-8.42,4.02,3.4,-0.15
1930,6.4,-24.9,-7.46,4.34,0.1
1931,9.32,-43.34,-10.66,-5.11,-17.38
1932,10.27,-8.19,-12.46,17.37,21.28
1933,-0.76,53.99,4.99,-0.4,27.26
1934,-1.52,-1.44,0.71,10.88,31.75
1935,-2.99,47.67,17.45,4.64,0.43
1936,-1.45,33.92,10.37,7.07,0.09
1937,-2.86,-35.03,8.65,0.14,-0.23
1938,2.78,31.12,-1.18,6.06,0.17
1939,0,-0.41,8.87,5.75,-1.23
1940,-0.71,-9.78,-1.25,6.24,-1.66
1941,-9.93,-11.59,-1.8,1.14,0
1942,-9.03,20.34,10.52,2,0
1943,-2.96,25.9,18.5,2.4,0
1944,-2.3,19.75,22.96,2.5,0
1945,-2.25,36.44,17.25,10.8,2.54
1946,-18.13,-8.07,29.14,-0.11,0
1947,-8.84,5.71,25.75,-2.94,0
1948,-2.99,5.5,6.06,3.16,0
1949,2.07,18.79,4.27,6.16,-8.7
1950,-5.93,31.71,8.02,-0.07,9.56
1951,-6,24.02,10.63,-3.73,0
1952,-0.75,18.37,9,1.13,-0.35
1953,-0.75,-0.99,16.01,3.6,0.69
1954,0.74,52.62,5.07,6.67,0.57
1955,-0.37,31.56,4.82,-1.22,-0.03
1956,-2.99,6.56,4.86,-5.73,-0.11
1957,-2.9,-10.78,7.52,7.75,-0.11
1958,-1.76,43.36,6.18,-5.13,0.43
1959,-1.73,11.96,4.69,-2.56,0
1960,-1.46,0.47,4.74,11.64,0.48
1961,-0.67,26.89,5.45,1.12,-0.28
1962,-1.33,-8.73,6.14,7.67,0.66
1963,-1.64,22.8,6.11,-0.62,-0.4
1964,-0.97,16.48,6.65,5.03,0.03
1965,-1.92,12.45,6.46,-0.49,0.06
1966,-3.46,-10.06,6.81,4.4,-0.34
1967,-3.04,23.98,6.62,-5.12,-0.14
1968,-4.72,11.06,8.22,-0.12,11.37
1969,-6.2,-8.5,11.99,-5.54,5.54
1970,-5.57,4.01,13.49,14.19,-12.37
1971,-3.27,14.31,10.86,17.96,13.89
1972,-3.41,18.98,9.43,5.55,41.46
1973,-8.71,-14.66,7.5,-3.83,67.24
1974,-12.34,-26.47,13.25,2.55,64.17
1975,-6.94,37.2,16.2,6.51,1.1
1976,-4.86,23.84,12.92,17.34,-22.47
1977,-6.7,-7.18,17.43,1.41,18.57
1978,-9.02,6.56,19.54,-2.97,30.41
1979,-13.29,18.44,18.83,-1.59,58.9
1980,-12.52,32.42,13.12,-3.14,98.26
1981,-8.92,-4.91,10.31,-0.07,-24.34
1982,-3.83,21.55,8.72,36.34,-18.26
1983,-3.79,22.56,9.47,1.27,12.5
1984,-3.95,6.27,10.08,14.99,-14.78
1985,-3.8,31.73,11.02,29.33,-11.78
1986,-1.1,18.67,12.73,25.97,15.63
1987,-4.43,5.25,12.21,-3.11,21.3
1988,-4.42,16.61,10.98,7.47,-2.02
1989,-4.65,31.69,10.85,18.26,-12.72
1990,-6.11,-3.1,8.61,5.43,0.53
1991,-3.06,30.47,7.41,17.06,-5.6
1992,-2.9,7.62,8.32,7.3,-5.05
1993,-2.75,10.08,7.84,15.44,4.73
1994,-2.67,1.32,8.09,-7.58,6.67
1995,-2.54,37.58,8.57,29.15,0
1996,-3.32,22.96,8.98,-1.32,1.04
1997,-1.7,33.36,8.86,14.38,-14.67
1998,-1.61,28.58,10.62,12.09,-11.2
1999,-2.68,21.04,10.3,-9.26,-5.18
2000,-3.39,-9.1,11.73,20.34,0.08
2001,-1.55,-11.89,12.7,3.5,-2.87
2002,-2.38,-22.1,11.4,15.9,14.4
2003,-1.88,28.68,11.12,2.02,17.26
2004,-3.26,10.88,14.05,6.9,12.51
2005,-3.42,4.91,15.76,7.6,8.8
2006,-2.54,15.79,11.35,0.05,35.73
2007,-4.08,5.49,5.24,8.61,15.35
2008,-0.09,-37,-0.61,24.68,25.16
2009,-2.72,26.46,-0.85,-15.22,11.58
2010,-1.5,15.06,0.79,10.11,25.87
2011,-2.96,2.11,1.37,25.34,28.13
2012,-1.74,16,5.21,3.23,6.42
2013,-1.5,32.39,12.8,-13.24,-15.48
2014,-0.76,13.69,10.63,24.39,-10.31
2015,-0.73,1.38,10.65,-1.89,-8.32
2016,-2.07,11.96,10.79,0.23,7.61
2017,-2.11,21.83,11.31,2.52,0.69
2018,-1.91,-4.38,11.29,-1.71,0.91
2019,-2.29,31.49,8.93,11.87,9.73
2020,-1.36,18.4,12.42,11.87,27.11
2021,-7.04,28.71,19.02,-4.42,1.67
2022,-6.45,-18.11,5.75,-17.83,0.08
2023,-3.35,26.29,5.74,3.88,7.88
2024,-2.89,25.02,4.04,-1.64,22.89
2025,-2.68,17.88,1.17,7.8,44.16
2026 YTD,-3.37,12.67,0.18,-2.63,1.25
