Year,Inflation_Purchasing_Power_Return,SP500_Total_Return,Housing_Return,Bond_Return,Gold_Return
1926,1.12,11.62,2.16,5.29,0
1927,2.26,37.49,2.39,3.72,0
1928,1.16,43.61,7.79,0.84,0
1929,-0.58,-8.42,4.02,4.2,0
1930,6.4,-24.9,-7.46,4.54,0
1931,9.32,-43.34,-10.66,-2.56,0
1932,10.27,-8.19,-12.46,8.79,0
1933,-0.76,53.99,4.99,1.86,0
1934,-1.52,-1.44,0.71,7.96,69.33
1935,-2.99,47.67,17.45,4.47,0
1936,-1.45,33.92,10.37,5.02,0
1937,-2.86,-35.03,8.65,1.38,0
1938,2.78,31.12,-1.18,4.21,0
1939,0,-0.41,8.87,4.41,0
1940,-0.71,-9.78,-1.25,5.4,0
1941,-9.93,-11.59,-1.8,-2.02,0
1942,-9.03,20.34,10.52,2.29,0
1943,-2.96,25.9,18.5,2.49,0
1944,-2.3,19.75,22.96,2.58,0
1945,-2.25,36.44,17.25,3.8,0
1946,-18.13,-8.07,29.14,3.13,0
1947,-8.84,5.71,25.75,0.92,0
1948,-2.99,5.5,6.06,1.95,0
1949,2.07,18.79,4.27,4.66,0
1950,-5.93,31.71,8.02,0.43,0
1951,-6,24.02,10.63,-0.3,0
1952,-0.75,18.37,9,2.27,0
1953,-0.75,-0.99,16.01,4.14,0
1954,0.74,52.62,5.07,3.29,0
1955,-0.37,31.56,4.82,-1.34,0
1956,-2.99,6.56,4.86,-2.26,0
1957,-2.9,-10.78,7.52,6.8,0
1958,-1.76,43.36,6.18,-2.1,0
1959,-1.73,11.96,4.69,-2.65,0
1960,-1.46,0.47,4.74,11.64,0
1961,-0.67,26.89,5.45,2.06,0
1962,-1.33,-8.73,6.14,5.69,0
1963,-1.64,22.8,6.11,1.68,0
1964,-0.97,16.48,6.65,3.73,0
1965,-1.92,12.45,6.46,0.72,0
1966,-3.46,-10.06,6.81,2.91,0
1967,-3.04,23.98,6.62,-1.58,0
1968,-4.72,11.06,8.22,3.27,19.71
1969,-6.2,-8.5,11.99,-5.01,-15.99
1970,-5.57,4.01,13.49,16.75,6.19
1971,-3.27,14.31,10.86,9.79,16.72
1972,-3.41,18.98,9.43,2.82,48.75
1973,-8.71,-14.66,7.5,3.66,72.96
1974,-12.34,-26.47,13.25,1.99,66.15
1975,-6.94,37.2,16.2,3.61,-24.8
1976,-4.86,23.84,12.92,15.98,-4.1
1977,-6.7,-7.18,17.43,1.29,22.64
1978,-9.02,6.56,19.54,-0.78,37.01
1979,-13.29,18.44,18.83,0.67,126.55
1980,-12.52,32.42,13.12,-2.99,15.19
1981,-8.92,-4.91,10.31,8.2,-32.6
1982,-3.83,21.55,8.72,32.81,14.94
1983,-3.79,22.56,9.47,3.2,-16.31
1984,-3.95,6.27,10.08,13.73,-19.38
1985,-3.8,31.73,11.02,25.71,6
1986,-1.1,18.67,12.73,24.28,18.96
1987,-4.43,5.25,12.21,-4.96,24.53
1988,-4.42,16.61,10.98,8.22,-15.26
1989,-4.65,31.69,10.85,17.69,-2.84
1990,-6.11,-3.1,8.61,6.24,-3.11
1991,-3.06,30.47,7.41,15,-8.56
1992,-2.9,7.62,8.32,9.36,-5.73
1993,-2.75,10.08,7.84,14.21,17.68
1994,-2.67,1.32,8.09,-8.04,-2.17
1995,-2.54,37.58,8.57,23.48,0.98
1996,-3.32,22.96,8.98,1.43,-4.59
1997,-1.7,33.36,8.86,9.94,-21.41
1998,-1.61,28.58,10.62,14.92,-0.83
1999,-2.68,21.04,10.3,-8.25,0.85
2000,-3.39,-9.1,11.73,16.66,-5.44
2001,-1.55,-11.89,12.7,5.57,0.75
2002,-2.38,-22.1,11.4,15.12,25.57
2003,-1.88,28.68,11.12,0.38,19.89
2004,-3.26,10.88,14.05,4.49,4.65
2005,-3.42,4.91,15.76,2.87,17.77
2006,-2.54,15.79,11.35,1.96,23.2
2007,-4.08,5.49,5.24,10.21,31.92
2008,-0.09,-37,-0.61,20.1,4.32
2009,-2.72,26.46,-0.85,-11.12,25.04
2010,-1.5,15.06,0.79,8.46,29.24
2011,-2.96,2.11,1.37,16.04,8.93
2012,-1.74,16,5.21,2.97,8.26
2013,-1.5,32.39,12.8,-9.1,-27.33
2014,-0.76,13.69,10.63,10.75,0.12
2015,-0.73,1.38,10.65,1.28,-12.11
2016,-2.07,11.96,10.79,0.69,8.1
2017,-2.11,21.83,11.31,2.8,12.66
2018,-1.91,-4.38,11.29,-0.02,-0.93
2019,-2.29,31.49,8.93,9.64,18.43
2020,-1.36,18.4,12.42,11.33,24.61
2021,-7.04,28.71,19.02,-4.42,-4.33
2022,-6.45,-18.11,5.75,-17.83,0.44
2023,-3.35,26.29,5.74,3.88,14.59
2024,-2.89,25.02,4.04,-1.64,25.53
2025,-2.68,17.88,1.17,7.8,67.41
2026 YTD,-3.37,12.67,0.18,-2.63,0.42
